Site_Id,Unit_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp-Celsius,Air Temp (?F),Time (24:00),Field_Tech,DateVerified,WhoVerified,AirTemp (C),Year
Bay,,1989-10-25,,7.8,8.5,0.2,0.5,15,,66.2,4:48,John Phillips,,,19,1989
Bay,,1989-10-31,,,7.5,0.2,0.7,21.5,,71.6,14:24,John Phillips,,,22,1989
Bay,,1989-11-20,,,8,0.2,1,8.5,,57.2,4:48,John Phillips,,,14,1989
Bay,,1989-11-27,,10.3,7.5,0.2,0.6,9,,39.2,4:48,John Phillips,,,4,1989
Bay,,1989-12-11,,10.2,7,0.2,0.4,3,,37.4,9:36,John Phillips,,,3,1989
Bay,,1990-01-03,,11.9,7.5,0.2,0.6,3,,41,0:00,"J Phillips, Mary Feldman",,,5,1990
Bay,,1990-01-08,,10.8,7.5,0.2,0.4,7,,45.5,12:00,"J Phillips, Mary Feldman",,,7.5,1990
Bay,,1990-01-22,1,9.7,7.5,0.15,0.65,10,,53.6,14:24,"J Phillips, Mary Feldman",,,12,1990
Bay,,1990-01-30,,10.8,7.5,0.2,0.7,9,,55.4,9:36,"J Phillips, Mary Feldman",,,13,1990
Bay,,1990-02-07,3.4,10.8,7.5,0.2,0.6,10,,50,0:00,"J Phillips, Mary Feldman",,,10,1990
Bay,,1990-02-12,3.2,10.6,7,0.2,0.7,10,,48.2,4:48,"J Phillips, Mary Feldman",,,9,1990
Bay,,1990-02-20,4.2,11.6,7.5,0.15,0.39,5,,41,0:00,"J Phillips, Mary Feldman",,,5,1990
Bay,,1990-02-27,2.8,13.8,7,0.5,1.5,2.5,,33.8,19:12,"J Phillips, Mary Feldman",,,1,1990
Bay,,1990-03-05,2.9,11.6,7,0.2,0.4,7,,47.3,7:12,"J Phillips, Mary Feldman",,,8.5,1990
Bay,,1990-03-12,2.9,9,7,0.15,0.69,17,,69.8,19:12,"J Phillips, Mary Feldman",,,21,1990
Bay,,1990-03-19,2.8,7.8,7,0.22,0.92,15,,57.2,4:48,"J Phillips, Mary Feldman",,,14,1990
Bay,,1990-03-26,3,10.8,7,0.25,0.4,9.5,,48.2,4:48,"J Phillips, Mary Feldman",,,9,1990
Bay,,1990-04-02,1.8,9.6,8,0.15,0.7,5,,59,0:00,"J Phillips, Mary Feldman",,,15,1990
Bay,,1990-04-09,4.1,10.8,7,0.25,0.78,11,,53.6,14:24,"J Phillips, Mary Feldman",,,12,1990
Bay,,1990-04-16,2.5,9.7,7,0.25,0.72,15,,57.2,4:48,"J Phillips, Mary Feldman",,,14,1990
Bay,,1990-04-23,2.8,10.7,7,0.25,0.59,15,,59,0:00,"J Phillips, Mary Feldman",,,15,1990
Bay,,1990-04-30,3.2,10,7,0.88,1.3,18,,60.8,19:12,"J Phillips, Mary Feldman",,,16,1990
Bay,,1990-05-07,4.5,8.9,7,0.25,0.75,17,,64.4,9:36,"J Phillips, Mary Feldman",,,18,1990
Bay,,1990-05-14,3.7,8.4,7,0.32,1,20,,66.2,4:48,"J Phillips, Mary Feldman",,,19,1990
Bay,,1990-05-21,2.9,,7,0.25,0.99,22,,76.1,2:24,"J Phillips, Mary Feldman",,,24.5,1990
Bay,,1990-05-29,2.1,8.9,7,0.375,0.95,19,,68,0:00,"J Phillips, Mary Feldman",,,20,1990
Bay,,1990-06-04,3.5,6.9,7,0.4,1.22,24,,77,0:00,"J Phillips, Mary Feldman",,,25,1990
Bay,,1990-06-11,3.2,7.9,7,0.35,0.75,24,,71.6,14:24,"J Phillips, Mary Feldman",,,22,1990
Bay,,1990-06-16,3.2,7.7,7,0.32,0.62,23.5,,68,0:00,"J Phillips, Mary Feldman",,,20,1990
Bay,,1990-06-24,3.8,7.9,7,0.35,0.91,26,,78.8,19:12,"J Phillips, Mary Feldman",,,26,1990
Bay,,1990-07-02,3.7,7.8,7,0.35,0.78,24,,74.3,7:12,"J Phillips, Mary Feldman",,,23.5,1990
Bay,,1990-07-09,4.2,7.5,7.5,0.3,0.82,26,,79.7,16:48,"J Phillips, Mary Feldman",,,26.5,1990
Bay,,1990-07-16,3.9,7.5,7,0.375,1.25,26.5,,,12:00,"J Phillips, Mary Feldman",,,-17.77777778,1990
Bay,,1990-07-26,4.2,6.9,7.75,0.375,0.48,27,,78.8,19:12,"J Phillips, Mary Feldman",,,26,1990
Bay,,1990-08-06,4.2,7.7,8,0.4,0.98,26,,78.8,19:12,"J Phillips, Mary Feldman",,,26,1990
Bay,,1990-08-13,4.2,7.8,8,0.35,0.82,27,,80.6,14:24,"J Phillips, Mary Feldman",,,27,1990
Bay,,1990-08-27,4.2,8.9,8,0.35,0.94,27,,83.3,7:12,"J Phillips, Mary Feldman",,,28.5,1990
Bay,,1990-09-04,2.9,8.1,8,0.25,0.68,23,,75.2,4:48,"J Phillips, Mary Feldman",,,24,1990
Bay,,1990-09-17,2.4,8.8,8,0.25,0.78,21,,64.4,9:36,"J Phillips, Mary Feldman",,,18,1990
Bay,,1990-10-15,3.5,8.2,8,0.3,0.93,23,,71.6,14:24,"J Phillips, Mary Feldman",,,22,1990
Bay,,1990-10-29,0.7,12.5,8,0.1,0.38,9,,50,0:00,"J Phillips, Mary Feldman",,,10,1990
Bay,,1990-12-17,0.5,11.05,7.5,0.25,0.6,8,,46.4,9:36,"J Phillips, Mary Feldman",,,8,1990
Bay,,1991-01-07,0.7,11.8,8,0.2,0.39,9,,46.4,9:36,Feldman,,,8,1991
Bay,,1991-01-14,0.4,12.2,8,0.2,0.65,4.5,,39.2,4:48,Feldman,,,4,1991
Bay,,1991-01-24,0.5,13.2,7.5,0.2,0.65,4.5,,40.1,2:24,Feldman,,,4.5,1991
Bay,,1991-01-03,0.5,11.9,7.5,0.25,0.78,9,,51.8,19:12,Feldman,,,11,1991
Bay,,1991-02-04,0.9,,7.5,0.25,0.7,9,,50.9,21:36,Feldman,,,10.5,1991
Bay,,1991-02-11,0.7,11.1,7.5,0.3,0.41,7.5,,46.4,9:36,Feldman,,,8,1991
Bay,,1991-02-21,1.2,10.8,7.5,0.2,0.72,12,,50.9,21:36,Feldman,,,10.5,1991
Bay,,1991-02-25,0.7,11.8,7.5,0.2,0.28,8,,46.4,9:36,Feldman,,,8,1991
Bay,,1991-03-04,1.2,10,7.5,0.2,1.6,15,,60.8,19:12,Feldman,,,16,1991
Bay,,1991-03-11,0.4,12.9,7.5,0.15,0.35,6,,39.2,4:48,Feldman,,,4,1991
Bay,,1991-03-18,,9.95,7.7,0.25,0.69,11,,57.2,4:48,Feldman,,,14,1991
Bay,,1991-03-25,0,9.8,8,0.275,0.94,14,,55.4,9:36,Feldman,,,13,1991
Bay,,1991-04-04,1.2,10.7,8,0.32,0.78,13,,57.2,4:48,Feldman,,,14,1991
Bay,,1991-04-08,2.1,8.7,8,0.32,0.83,19,,69.8,19:12,Feldman,,,21,1991
Bay,,1991-04-15,1.2,8.9,7.5,0.32,0.52,14,,59.9,21:36,Feldman,,,15.5,1991
Bay,,1991-04-22,0.9,9.75,7.5,0.2,0.55,12.5,,55.4,9:36,Feldman,,,13,1991
Bay,,1991-04-29,2.4,8.3,7.5,0.35,0.8,20.5,,64.4,9:36,Feldman,,,18,1991
Bay,,1991-05-06,2.6,8,7.5,0.35,0.95,21,,74.3,7:12,Feldman,,,23.5,1991
Bay,,1991-05-20,1.3,9.5,7.5,0.3,0.5,15.5,,59,0:00,Feldman,,,15,1991
Bay,,1991-06-10,3,6.9,7.5,0.3,0.7,23,,78.8,19:12,Feldman,,,26,1991
Bay,,1991-06-17,3.8,6.8,7.5,0.325,1.09,26,,80.6,14:24,Feldman,,,27,1991
Bay,,1991-06-26,2.8,8.1,7.5,0.25,0.7,21,,70.7,16:48,Feldman,,,21.5,1991
Bay,,1991-07-09,1.8,7.8,7.5,0.35,0.95,28,,85.1,2:24,Feldman,,,29.5,1991
Bay,,1991-07-15,0,8,7.5,0.99,0.375,27.5,,82.4,9:36,Feldman,,,28,1991
Bay,,1991-07-25,,7.8,7,0.4,0.925,29,,84.2,4:48,Feldman,,,29,1991
Bay,,1991-08-02,0.7,8,7.5,0.35,1.025,24.5,,79.7,16:48,Feldman,,,26.5,1991
Bay,,1991-08-09,,8.4,8,0.35,1.025,27,,84.2,4:48,Feldman,,,29,1991
Bay,,1991-08-16,,8.8,8,0.38,1.01,25,,78.8,19:12,Feldman,,,26,1991
Bay,,1991-08-23,,7.8,8,0.375,0.88,26,,82.4,9:36,Feldman,,,28,1991
Bay,,1991-08-30,,7.8,8,,,26,,81.5,12:00,Feldman,,,27.5,1991
Bay,,1991-09-06,,7.7,8,0.375,0.9,25,,76.1,2:24,Feldman,,,24.5,1991
Bay,,1991-09-13,,8.2,8,0.2,0.37,22.5,,77,0:00,Feldman,,,25,1991
Bay,,1991-09-23,1.8,8.5,8,0.31,0.52,20,,69.8,19:12,Feldman,,,21,1991
Bay,,1991-10-04,3.5,7.7,7.5,0.28,0.7,21,,71.6,,Feldman,,,22,1991
Bay,,1991-10-17,9,9.7,7.5,0.2,0.65,13,,51.8,19:12,Feldman,,,11,1991
Bay,,1991-10-31,2.5,9.2,7.5,,1.5,13,,59,0:00,Feldman,,,15,1991
Bay,,1991-11-07,4.7,10.2,7.7,0.25,0.75,13,,56.3,7:12,Feldman,,,13.5,1991
Bay,,1991-11-14,6.2,11.3,7,0.15,0.8,12,,56.3,7:12,Feldman,,,13.5,1991
Bay,,1991-11-21,2.6,9.1,7,0.15,0.85,17,,67.1,2:24,Feldman,,,19.5,1991
Bay,,1991-11-29,3.3,10.8,7.5,0.25,0.6,12,,59,0:00,Feldman,,,15,1991
Bay,,1991-12-09,2,10.4,7.5,0.15,0.25,10,,59,0:00,Feldman,,,15,1991
Bay,,1991-12-20,1.4,15.1,8,0.2,0.3,2,,35.6,14:24,Feldman,,,2,1991
Bay,,1991-12-27,2.9,11.6,7.5,0.35,0.49,7,,44.6,14:24,Feldman,,,7,1991
Bay,,1992-01-03,2,11.8,7.5,0.28,0.45,10,,53.6,14:24,Feldman,,,12,1992
Bay,,1992-01-09,2.2,11.3,7.5,0.3,0.99,7.5,,49.1,2:24,Feldman,,,9.5,1992
Bay,,1992-01-20,1.4,12.6,7,0.2,0.58,2,,32.9,21:36,Feldman,,,0.5,1992
Bay,,1992-01-30,1.6,11.6,7,0.25,0.48,6,,43.7,16:48,Feldman,,,6.5,1992
Bay,,1992-02-10,2.4,14.2,7,0.25,0.3,3,,39.2,4:48,Feldman,,,4,1992
Bay,,1992-02-17,2,11.1,7,0.15,0.68,10,,44.6,14:24,Feldman,,,7,1992
Bay,,1992-02-23,2.4,10,7.5,0.15,0.68,12.5,,54.5,12:00,Feldman,,,12.5,1992
Bay,,1992-03-02,2.9,11.3,8,0.2,0.8,13,,59.9,21:36,Feldman,,,15.5,1992
Bay,,1992-03-09,3.5,10,7.5,0.25,0.75,16,,64.4,9:36,Feldman,,,18,1992
Bay,,1992-03-16,2.8,,7,0.15,0.48,3,,30,0:00,Feldman,,,-1.111111111,1992
Bay,,1992-03-23,2.9,11.6,7.5,0.05,0.35,3,,44.6,14:24,Feldman,,,7,1992
Bay,,1992-04-06,3,11,7.5,0.25,0.42,9,,50,0:00,Feldman,,,10,1992
Bay,,1992-04-13,3.8,10.6,7.5,0.1,0.5,13,,45.5,12:00,Feldman,,,7.5,1992
Bay,,1992-04-20,4.7,9.4,7,0.2,0.78,17,,55.4,9:36,Feldman,,,13,1992
Bay,,1992-04-27,3.7,9.6,7,0.35,0.65,14,,55.49,11:45,Feldman,,,13.05,1992
Bay,,1992-05-05,3.8,8.9,7.5,0.2,0.6,15.5,,50,0:00,Feldman,,,10,1992
Bay,,1992-05-11,4.2,9.2,7.5,0.3,0.7,17.5,,62.6,14:24,Feldman,,,17,1992
Bay,,1992-05-18,3.9,9,7.5,0.3,0.65,,,75.2,4:48,Feldman,,,24,1992
Bay,,1992-06-01,5,9.4,7,0.4,0.9,20,,68.9,21:36,Feldman,,,20.5,1992
Bay,,1992-06-08,4.3,7.9,7,0.4,1.05,27.5,,84.2,4:48,Feldman,,,29,1992
Bay,,1992-06-15,5.1,7.8,8,0.4,0.8,25,,84.2,4:48,Feldman,,,29,1992
Bay,,1992-06-22,4.7,9,7.5,0.45,0.68,19,,64.4,9:36,Feldman,,,18,1992
Bay,,1992-06-29,4.5,0.8,7.5,0.4,0.8,26,,78.8,19:12,Feldman,,,26,1992
Bay,,1992-07-06,4.3,7.5,7.5,0.45,1,25,,75.2,4:48,Feldman,,,24,1992
Bay,,1992-07-13,5.1,7.3,7.5,0.35,0.95,28.5,,87.8,19:12,Feldman,,,31,1992
Bay,,1992-07-27,5.1,7.6,8,0.35,0.95,28,,86.9,21:36,Feldman,,,30.5,1992
Bay,,1992-08-03,4.5,8,8,0.3,0.85,26,,78.8,19:12,Feldman,,,26,1992
Bay,,1992-08-07,4.7,8,8,0.33,0.6,23,,77,0:00,Feldman,,,25,1992
Bay,,1992-08-14,4.7,7.1,7.5,0.4,0.95,24.5,,71.6,14:24,Feldman,,,22,1992
Bay,,1992-08-23,3.9,8.5,8,0.4,0.8,24.5,,78.8,19:12,Feldman,,,26,1992
Bay,,1992-08-31,4.3,7.7,7.5,0.3,1,23,,77,0:00,Feldman,,,25,1992
Bay,,1992-09-14,4.8,9.2,8,0.38,0.38,19.5,,71.6,14:24,Feldman,,,22,1992
Bay,,1992-09-20,4.3,7.6,7.5,0.35,0.8,23.5,,75.2,4:48,Feldman,,,24,1992
Bay,,1992-09-27,5.4,9.8,8,0.25,0.45,24,,79.7,16:48,Feldman,,,26.5,1992
Bay,,1992-10-05,3.9,9.2,7.5,0.1,0.15,16,,62.6,14:24,Feldman,,,17,1992
Bay,,1992-10-19,4.1,9.8,7.5,0.1,1,12,,50,0:00,Feldman,,,10,1992
Bay,,1992-10-26,4.2,10.6,7,0.3,0.63,12.5,,55.4,9:36,Feldman,,,13,1992
Bay,,1992-11-02,3.4,10.6,7.5,0.35,0.65,16.5,,63.5,12:00,Feldman,,,17.5,1992
Bay,,1992-11-09,1.7,11.3,7.5,,0.4,9,,50,0:00,Feldman,,,10,1992
Bay,,1992-11-16,3.9,11,7.5,0.4,0.55,7.5,,41.9,21:36,Feldman,,,5.5,1992
Bay,,1992-11-23,3.9,9,7.85,0.25,0.85,18.5,,70.7,16:48,Feldman,,,21.5,1992
Bay,,1992-11-30,3.7,10.9,7.5,0.55,0.7,9,,46.4,9:36,Feldman,,,8,1992
Bay,,1992-12-17,4.1,10.8,7,0.15,0.5,12,,59.9,21:36,Feldman,,,15.5,1992
Bay,,1992-12-20,3.8,10.1,7,0.25,0.85,10.5,,50.9,21:36,Feldman,,,10.5,1992
Bay,,1992-12-27,4.7,13.2,7,0.25,0.45,5.5,,41.9,21:36,Feldman,,,5.5,1992
Bay,,1993-01-04,3.7,11,7,0.35,0.5,8,,60.8,19:12,Feldman,,,16,1993
Bay,,1993-01-11,3.5,11.9,7,0.25,0.25,9,,44.6,14:24,Feldman,,,7,1993
Bay,,1993-01-24,3.3,10.5,7,0.3,0.95,10.5,,58.1,2:24,Feldman,,,14.5,1993
Bay,,1993-02-01,2.9,12,7,0.2,0.85,6,,49.1,2:24,Feldman,,,9.5,1993
Bay,,1993-02-08,3.4,12.6,7,0.1,0.3,5,,41.9,21:36,Feldman,,,5.5,1993
Bay,,1993-02-16,3.5,12.4,7,0.3,0.75,8,,53.6,14:24,Feldman,,,12,1993
Bay,,1993-02-22,2.9,12.7,7,0.1,0.85,8,,59,0:00,Feldman,,,15,1993
Bay,,1993-03-08,3.9,10.7,7,0.1,1.15,10,,56.3,7:12,Feldman,,,13.5,1993
Bay,,1993-03-15,3.4,12.8,7,0.5,1.7,2.5,,34.7,16:48,Feldman,,,1.5,1993
Bay,,1993-03-22,3.3,11.2,7,0.15,0.4,10,,51.8,19:12,Feldman,,,11,1993
Bay,,1993-03-29,3,10,7,0.5,0.7,14.5,,54.5,12:00,Feldman,,,12.5,1993
Bay,,1993-04-01,2.9,9.5,,0.55,3.1,17.5,,68.9,21:36,Feldman,,,20.5,1993
Bay,,1993-04-05,2.5,10,7,0.35,0.8,10,,44.6,14:24,Feldman,,,7,1993
Bay,,1993-04-12,2.5,9.7,7,0.3,1,15.5,,60.8,10.15,Feldman,,,16,1993
Bay,,1993-04-19,3,10,7,0.3,1.15,14.5,,53.6,14:24,Feldman,,,12,1993
Bay,,1993-04-26,3.4,8.7,7,0.3,1.2,19,,69.8,19:12,Feldman,,,21,1993
Bay,,1993-05-10,3.2,8,7,0.4,0.85,21,,69.8,19:12,Feldman,,,21,1993
Bay,,1993-05-17,3.9,8,7,0.5,1,24,,77,0:00,Feldman,,,25,1993
Bay,,1993-05-24,2.9,9,7,0.3,0.85,20,,71.6,14:24,Feldman,,,22,1993
Bay,,1993-06-07,3.7,,7,0.45,0.75,23,,72.5,12:00,Feldman,,,22.5,1993
Bay,,1993-06-14,3.9,8.1,7,0.45,0.45,21.5,,68.9,21:36,Feldman,,,20.5,1993
Bay,,1993-06-21,3.8,7.2,7,0.55,1,26.5,,80.6,14:24,Feldman,,,27,1993
Bay,,1993-06-28,3.9,7.1,7,0.55,0.8,26.5,,86,0:00,Feldman,,,30,1993
Bay,,1993-07-05,,7.4,7.5,0.55,0.8,30,,88.7,16:48,Feldman,,,31.5,1993
Bay,,1993-07-19,4.2,7.3,7.5,0.45,0.75,27,,81.5,12:00,Feldman,,,27.5,1993
Bay,,1993-07-26,,7.5,7.5,0.5,0.7,28,,85.1,2:24,Feldman,,,29.5,1993
Bay,,1993-08-02,3.9,8,8,0.4,0.8,26.5,,86,0:00,Feldman,,,30,1993
Bay,,1993-08-09,3.5,9.1,8,0.3,0.55,25.5,,79.7,16:48,Feldman,,,26.5,1993
Bay,,1993-09-06,,7.2,,0.35,0.85,25.5,,81.5,12:00,Feldman,,,27.5,1993
Bay,,1993-09-13,,7.8,7,0.2,0.75,24,,82.4,9:36,Feldman,,,28,1993
Bay,,1993-09-20,,8.5,8,0.2,0.6,21.5,,74.3,7:12,Feldman,,,23.5,1993
Bay,,1993-09-27,1.8,7.2,7.9,0.4,0.95,24.5,,76.1,2:24,Feldman,,,24.5,1993
Bay,,1993-10-04,,9.3,8.3,0.35,0.65,19,,68,0:00,Feldman,,,20,1993
Bay,,1993-10-12,1.5,8.8,7.8,0.3,0.5,16.5,,59,0:00,Feldman,,,15,1993
Bay,,1993-10-18,1.5,8.8,7.7,0.35,0.75,18,,64.94,22:33,Feldman,,,18.3,1993
Bay,,1993-10-25,1.8,10.6,8.4,0.4,0.6,15.6,,66.02,0:28,Feldman,,,18.9,1993
Bay,,1993-11-08,1.5,8.2,7.5,0.35,0.55,9.8,,52.34,8:09,Feldman,,,11.3,1993
Bay,,1993-11-15,1.4,9.6,7.9,0.4,0.8,17.3,,72.5,12:00,Feldman,,,22.5,1993
Bay,,1993-11-29,1.5,9.4,7.1,0.2,0.55,12.1,,50.9,21:36,Feldman,,,10.5,1993
Bay,,1993-12-06,1.5,9.8,7.4,0.25,0.75,10.5,,48.74,17:45,Feldman,,,9.3,1993
Bay,,1993-12-13,1.5,13,7.6,0.25,0.45,1.3,,41.9,21:36,Feldman,,,5.5,1993
Bay,,1993-12-28,1.5,12.1,7.1,0.3,0.7,3.8,,39.74,17:45,Feldman,,,4.3,1993
Bay,,1995-01-16,3,8.5,7.4,0.25,0.85,13.5,,61.7,16:48,Feldman,,,16.5,1995
Bay,,1995-01-23,3,10.75,7.1,0.2,0.7,4.5,,46.4,9:36,Feldman,,,8,1995
Bay,,1995-02-13,3,12.5,6.8,0.2,0.25,2,,29.3,7:12,Feldman,,,-1.5,1995
Bay,,1995-03-06,2.4,9.3,7.1,0.2,0.2,9.5,,46.4,9:36,Feldman,,,8,1995
Bay,,1995-03-13,2.4,9.9,6.9,0.28,0.65,11.5,,59.9,N/A,Feldman,,,15.5,1995
Bay,,1995-03-20,2.8,8.9,7.1,0.35,0.45,12.5,,54.5,12:00,Feldman,,,12.5,1995
Bay,,1995-03-27,2.4,9,7.1,0.25,0.45,11,,53.6,14:24,Feldman,,,12,1995
Bay,,1995-04-03,2.4,9.3,7.1,0.4,0.55,11.5,,54.5,12:00,Feldman,,,12.5,1995
Bay,,1995-04-10,3.2,8.5,7.1,0.25,0.7,15,,48.2,4:48,Feldman,,,9,1995
Bay,,1995-04-18,3,9,7.1,0.25,0.5,16,,58.1,2:24,Feldman,,,14.5,1995
Bay,,1995-04-24,3,9.7,7.4,0.25,0.55,12.5,,50,0:00,Feldman,,,10,1995
Bay,,1995-05-01,3.2,8.9,7.2,0.3,0.6,15,,52.7,16:48,Feldman,,,11.5,1995
Bay,,1995-05-15,3.3,6.8,6.8,0.3,0.55,21.5,,74.3,7:12,Feldman,,,23.5,1995
Bay,,1995-05-22,3.3,6.8,6.8,0.3,0.55,21.5,,74.3,7:12,Feldman,,,23.5,1995
Bay,,1995-05-29,3.5,8.5,7.5,0.4,0.4,22,,80.6,14:24,Feldman,,,27,1995
Bay,,1995-06-05,4,7.8,7.6,0.3,0.3,25,,73.4,9:36,Feldman,,,23,1995
Bay,,1995-06-12,3.5,7.7,7.9,0.4,0.9,26.5,,77.9,21:36,Feldman,,,25.5,1995
Bay,,1995-06-19,3.2,7.7,8,0.4,0.55,25,,75.2,4:48,Feldman,,,24,1995
Bay,,1995-06-26,4,8.8,8.3,0.5,0.8,28.5,,82.4,9:36,Feldman,,,28,1995
Bay,,1995-07-03,4,8,,0.45,0.8,26,,80.6,N/A,Feldman,,,27,1995
Bay,,1995-07-10,4,7,7.9,0.35,0.7,26,,79.7,16:48,Feldman,,,26.5,1995
Bay,,1995-07-17,4,7,8,0.45,1,30,,84.2,4:48,Feldman,,,29,1995
Bay,,1995-07-24,4.5,7.2,8.4,0.55,0.9,32,,92.3,7:12,Feldman,,,33.5,1995
Bay,,1995-07-31,4.5,7.6,8.1,0.5,0.8,29.5,,84.2,4:48,Feldman,,,29,1995
Bay,,1995-08-07,4.5,8.7,8.2,0.5,0.6,24,,71.6,14:24,Feldman,,,22,1995
